sample	unit	fq1	fq2
C88_apical_buds	CRR381059	CRR381059_f1.fq.gz	CRR381059_r2.fq.gz
C88_flower_buds	CRR381060	CRR381060_f1.fq.gz	CRR381060_r2.fq.gz
C88_whole_mature_flowers	CRR381061	CRR381061_f1.fq.gz	CRR381061_r2.fq.gz
C88_stamens	CRR381062	CRR381062_f1.fq.gz	CRR381062_r2.fq.gz
C88_carpels	CRR381063	CRR381063_f1.fq.gz	CRR381063_r2.fq.gz
C88_petals	CRR381064	CRR381064_f1.fq.gz	CRR381064_r2.fq.gz
C88_sepals	CRR381065	CRR381065_f1.fq.gz	CRR381065_r2.fq.gz
C88_young_leaves	CRR381066	CRR381066_f1.fq.gz	CRR381066_r2.fq.gz
C88_expanded_leaves	CRR381067	CRR381067_f1.fq.gz	CRR381067_r2.fq.gz
C88_petiole_from_expanded_leaves	CRR381068	CRR381068_f1.fq.gz	CRR381068_r2.fq.gz
C88_stems	CRR381069	CRR381069_f1.fq.gz	CRR381069_r2.fq.gz
C88_underground_stolons	CRR381070	CRR381070_f1.fq.gz	CRR381070_r2.fq.gz
C88_aboveground_stolons	CRR381071	CRR381071_f1.fq.gz	CRR381071_r2.fq.gz
C88_very_small_tubers	CRR381072	CRR381072_f1.fq.gz	CRR381072_r2.fq.gz
C88_small_tubers	CRR381073	CRR381073_f1.fq.gz	CRR381073_r2.fq.gz
C88_mediate_tubers	CRR381074	CRR381074_f1.fq.gz	CRR381074_r2.fq.gz
C88_big_tubers	CRR381075	CRR381075_f1.fq.gz	CRR381075_r2.fq.gz
C88_in_vitro_shoots	CRR381076	CRR381076_f1.fq.gz	CRR381076_r2.fq.gz
C88_in_vitro_roots	CRR381077	CRR381077_f1.fq.gz	CRR381077_r2.fq.gz
C88_fruits	CRR381078	CRR381078_f1.fq.gz	CRR381078_r2.fq.gz
MF93_leaf_1	MF93_1_CKDL220028280_1A_HK7YHDSX5_L1	MF93_1_CKDL220028280-1A_HK7YHDSX5_L1_1.fq.gz	MF93_1_CKDL220028280-1A_HK7YHDSX5_L1_2.fq.gz
MF93_leaf_1	MF93_1_CKDL220028280_1A_HKC2JDSX5_L1	MF93_1_CKDL220028280-1A_HKC2JDSX5_L1_1.fq.gz	MF93_1_CKDL220028280-1A_HKC2JDSX5_L1_2.fq.gz
MF93_leaf_2	MF93_2_CKDL220028280_1A_HK7YHDSX5_L1	MF93_2_CKDL220028280-1A_HK7YHDSX5_L1_1.fq.gz	MF93_2_CKDL220028280-1A_HK7YHDSX5_L1_2.fq.gz
MF93_leaf_2	MF93_2_CKDL220028280_1A_HKC2JDSX5_L1	MF93_2_CKDL220028280-1A_HKC2JDSX5_L1_1.fq.gz	MF93_2_CKDL220028280-1A_HKC2JDSX5_L1_2.fq.gz
MF93_leaf_3	MF93_3_CKDL220028280_1A_HK7YHDSX5_L1	MF93_3_CKDL220028280-1A_HK7YHDSX5_L1_1.fq.gz	MF93_3_CKDL220028280-1A_HK7YHDSX5_L1_2.fq.gz
