sample	unit	fq1	fq2	readlen
BB_1	BORD_00001	BORD_00001.fq.gz	NaN	short
BB_10	BORD_00010	BORD_00010.fq.gz	NaN	short
BB_100	BORD_00098	BORD_00098.fq.gz	NaN	short
BB_101	BORD_00099	BORD_00099.fq.gz	NaN	short
BB_102	BORD_00100	BORD_00100.fq.gz	NaN	short
BB_103	BORD_00101	BORD_00101.fq.gz	NaN	short
BB_104	BORD_00102	BORD_00102.fq.gz	NaN	short
BB_105	BORD_00103	BORD_00103.fq.gz	NaN	short
BB_106	BORD_00104	BORD_00104.fq.gz	NaN	short
BB_107	BORD_00105	BORD_00105.fq.gz	NaN	short
BB_108	BORD_00106	BORD_00106.fq.gz	NaN	short
BB_109	BORD_00107	BORD_00107.fq.gz	NaN	short
BB_11	BORD_00011	BORD_00011.fq.gz	NaN	short
BB_110	BORD_00108	BORD_00108.fq.gz	NaN	short
BB_111	BORD_00109	BORD_00109.fq.gz	NaN	short
BB_112	BORD_00110	BORD_00110.fq.gz	NaN	short
BB_113	BORD_00111	BORD_00111.fq.gz	NaN	short
BB_114	BORD_00112	BORD_00112.fq.gz	NaN	short
BB_115	BORD_00113	BORD_00113.fq.gz	NaN	short
BB_116	BORD_00114	BORD_00114.fq.gz	NaN	short
BB_117	BORD_00115	BORD_00115.fq.gz	NaN	short
BB_118	BORD_00116	BORD_00116.fq.gz	NaN	short
BB_119	BORD_00117	BORD_00117.fq.gz	NaN	short
BB_12	BORD_00012	BORD_00012.fq.gz	NaN	short
BB_120	BORD_00118	BORD_00118.fq.gz	NaN	short
BB_121	BORD_00119	BORD_00119.fq.gz	NaN	short
BB_122	BORD_00120	BORD_00120.fq.gz	NaN	short
BB_123	BORD_00121	BORD_00121.fq.gz	NaN	short
BB_124	BORD_00122	BORD_00122.fq.gz	NaN	short
BB_13	BORD_00013	BORD_00013.fq.gz	NaN	short
BB_14	BORD_00014	BORD_00014.fq.gz	NaN	short
BB_15	BORD_00015	BORD_00015.fq.gz	NaN	short
BB_150	BORD_00123	BORD_00123.fq.gz	NaN	short
BB_151	BORD_00124	BORD_00124.fq.gz	NaN	short
BB_152	BORD_00125	BORD_00125.fq.gz	NaN	short
BB_153	BORD_00126	BORD_00126.fq.gz	NaN	short
BB_154	BORD_00127	BORD_00127.fq.gz	NaN	short
BB_155	BORD_00128	BORD_00128.fq.gz	NaN	short
BB_156	BORD_00129	BORD_00129.fq.gz	NaN	short
BB_157	BORD_00130	BORD_00130.fq.gz	NaN	short
BB_158	BORD_00131	BORD_00131.fq.gz	NaN	short
BB_159	BORD_00132	BORD_00132.fq.gz	NaN	short
BB_16	BORD_00016	BORD_00016.fq.gz	NaN	short
BB_160	BORD_00133	BORD_00133.fq.gz	NaN	short
BB_161	BORD_00134	BORD_00134.fq.gz	NaN	short
BB_162	BORD_00135	BORD_00135.fq.gz	NaN	short
BB_163	BORD_00136	BORD_00136.fq.gz	NaN	short
BB_165	BORD_00137	BORD_00137.fq.gz	NaN	short
BB_166	BORD_00138	BORD_00138.fq.gz	NaN	short
BB_167	BORD_00139	BORD_00139.fq.gz	NaN	short
BB_169	BORD_00140	BORD_00140.fq.gz	NaN	short
BB_17	BORD_00017	BORD_00017.fq.gz	NaN	short
BB_170	BORD_00141	BORD_00141.fq.gz	NaN	short
BB_171	BORD_00142	BORD_00142.fq.gz	NaN	short
BB_172	BORD_00143	BORD_00143.fq.gz	NaN	short
BB_173	BORD_00144	BORD_00144.fq.gz	NaN	short
BB_174	BORD_00145	BORD_00145.fq.gz	NaN	short
BB_175	BORD_00146	BORD_00146.fq.gz	NaN	short
BB_176	BORD_00147	BORD_00147.fq.gz	NaN	short
BB_177	BORD_00148	BORD_00148.fq.gz	NaN	short
BB_178	BORD_00149	BORD_00149.fq.gz	NaN	short
BB_179	BORD_00150	BORD_00150.fq.gz	NaN	short
BB_18	BORD_00018	BORD_00018.fq.gz	NaN	short
BB_180	BORD_00151	BORD_00151.fq.gz	NaN	short
BB_181	BORD_00152	BORD_00152.fq.gz	NaN	short
BB_182	BORD_00153	BORD_00153.fq.gz	NaN	short
BB_183	BORD_00154	BORD_00154.fq.gz	NaN	short
BB_184	BORD_00155	BORD_00155.fq.gz	NaN	short
BB_186	BORD_00156	BORD_00156.fq.gz	NaN	short
BB_187	BORD_00157	BORD_00157.fq.gz	NaN	short
BB_19	BORD_00019	BORD_00019.fq.gz	NaN	short
BB_190	BORD_00158	BORD_00158.fq.gz	NaN	short
BB_191	BORD_00159	BORD_00159.fq.gz	NaN	short
BB_192	BORD_00160	BORD_00160.fq.gz	NaN	short
BB_193	BORD_00161	BORD_00161.fq.gz	NaN	short
BB_194	BORD_00162	BORD_00162.fq.gz	NaN	short
BB_195	BORD_00163	BORD_00163.fq.gz	NaN	short
BB_196	BORD_00164	BORD_00164.fq.gz	NaN	short
BB_197	BORD_00165	BORD_00165.fq.gz	NaN	short
BB_198	BORD_00166	BORD_00166.fq.gz	NaN	short
BB_199	BORD_00167	BORD_00167.fq.gz	NaN	short
BB_2	BORD_00002	BORD_00002.fq.gz	NaN	short
BB_20	BORD_00020	BORD_00020.fq.gz	NaN	short
BB_200	BORD_00168	BORD_00168.fq.gz	NaN	short
BB_201	BORD_00169	BORD_00169.fq.gz	NaN	short
BB_202	BORD_00170	BORD_00170.fq.gz	NaN	short
BB_203	BORD_00171	BORD_00171.fq.gz	NaN	short
BB_204	BORD_00172	BORD_00172.fq.gz	NaN	short
BB_205	BORD_00173	BORD_00173.fq.gz	NaN	short
BB_206	BORD_00174	BORD_00174.fq.gz	NaN	short
BB_207	BORD_00175	BORD_00175.fq.gz	NaN	short
BB_208	BORD_00176	BORD_00176.fq.gz	NaN	short
BB_209	BORD_00177	BORD_00177.fq.gz	NaN	short
