sample	unit	fq1	fq2	readlen	desiree_layers	desiree_layers_geno	rp_layer_geno	rp_layers
D140	KFRAG_01583_AVT0014_lane1	Kirk_D140-1.fq.gz	Kirk_D140-2.fq.gz	short	FALSE	FALSE	TRUE	TRUE
D140	KFRAG_01583_AVT0014_lane2	Kirk_D140_lane2-1.fq.gz	Kirk_D140_lane2-2.fq.gz	short	FALSE	FALSE	TRUE	TRUE
D140	KFRAG_01583_AVT0019_lane1	D140-1.fq.gz	D140-2.fq.gz	short	FALSE	FALSE	TRUE	TRUE
D3	KFRAG_01581_AVT0014_lane1	Kirk_D3-1.fq.gz	Kirk_D3-2.fq.gz	short	FALSE	FALSE	TRUE	TRUE
D3	KFRAG_01581_AVT0014_lane2	Kirk_D3_lane2-1.fq.gz	Kirk_D3_lane2-2.fq.gz	short	FALSE	FALSE	TRUE	TRUE
D59	KFRAG_01582_AVT0014_lane1	Kirk_D59-1.fq.gz	Kirk_D59-2.fq.gz	short	FALSE	FALSE	TRUE	TRUE
D59	KFRAG_01582_AVT0014_lane2	Kirk_D59_lane2-1.fq.gz	Kirk_D59_lane2-2.fq.gz	short	FALSE	FALSE	TRUE	TRUE
D59	KFRAG_01582_AVT0019_lane1	D59-1.fq.gz	D59-2.fq.gz	short	FALSE	FALSE	TRUE	TRUE
IPK_Urgenta	KFRAG_01579_AVT0014_lane1	IPK_Urgenta-1.fq.gz	IPK_Urgenta-2.fq.gz	short	TRUE	FALSE	TRUE	TRUE
IPK_Urgenta	KFRAG_01579_AVT0014_lane2	IPK_Urgenta_lane2-1.fq.gz	IPK_Urgenta_lane2-2.fq.gz	short	TRUE	FALSE	TRUE	TRUE
MF_104	MFRAG_00032H	MFRAG_00032H-1.fq.gz	MFRAG_00032H-2.fq.gz	short	FALSE	FALSE	TRUE	TRUE
MF_104	MFRAG_00032H_b	MFRAG_00032H_b-1.fq.gz	MFRAG_00032H_b-2.fq.gz	short	FALSE	FALSE	TRUE	TRUE
MF_105	CSFP200003979_L1	MF105_B1_CSFP200003979-1a_H5MWFDSXY_L1_1.fq.gz	MF105_B1_CSFP200003979-1a_H5MWFDSXY_L1_2.fq.gz	short	FALSE	FALSE	TRUE	TRUE
MF_105	CSFP200003979_L2	MF105_B1_CSFP200003979-1a_H552FDSXY_L2_1.fq.gz	MF105_B1_CSFP200003979-1a_H552FDSXY_L2_2.fq.gz	short	FALSE	FALSE	TRUE	TRUE
MF_105	CSFP210001503_HY5JKDSXY_L1	MF_105_C_CSFP210001503-1a_HY5JKDSXY_L1_1.fq.gz	MF_105_C_CSFP210001503-1a_HY5JKDSXY_L1_2.fq.gz	short	FALSE	FALSE	TRUE	TRUE
MF_105	CSFP210001503_HY5KHDSXY_L1	MF_105_C_CSFP210001503-1a_HY5KHDSXY_L1_1.fq.gz	MF_105_C_CSFP210001503-1a_HY5KHDSXY_L1_2.fq.gz	short	FALSE	FALSE	TRUE	TRUE
MF_11	CSFP200003973_L1	MF11_B1_CSFP200003973-1a_H5ML2DSXY_L1_1.fq.gz	MF11_B1_CSFP200003973-1a_H5ML2DSXY_L1_2.fq.gz	short	FALSE	FALSE	TRUE	TRUE
MF_11	CSFP200003973_L2	MF11_B1_CSFP200003973-1a_H552FDSXY_L2_1.fq.gz	MF11_B1_CSFP200003973-1a_H552FDSXY_L2_2.fq.gz	short	FALSE	FALSE	TRUE	TRUE
MF_113_1	MFRAG_00019H	MFRAG_00019H-1.fq.gz	MFRAG_00019H-2.fq.gz	short	FALSE	FALSE	TRUE	TRUE
MF_113_1	MFRAG_00019H_b	MFRAG_00019H_b-1.fq.gz	MFRAG_00019H_b-2.fq.gz	short	FALSE	FALSE	TRUE	TRUE
MF_43	CSFP200003974_L1	MF43_B3_CSFP200003974-1a_H5ML2DSXY_L1_1.fq.gz	MF43_B3_CSFP200003974-1a_H5ML2DSXY_L1_2.fq.gz	short	FALSE	FALSE	TRUE	TRUE
MF_43	CSFP200003974_L2	MF43_B3_CSFP200003974-1a_H552FDSXY_L2_1.fq.gz	MF43_B3_CSFP200003974-1a_H552FDSXY_L2_2.fq.gz	short	FALSE	FALSE	TRUE	TRUE
MF_43	CSFP210001498_HY5JKDSXY_L1	MF_43_C_CSFP210001498-1a_HY5JKDSXY_L1_1.fq.gz	MF_43_C_CSFP210001498-1a_HY5JKDSXY_L1_2.fq.gz	short	FALSE	FALSE	TRUE	TRUE
MF_43	CSFP210001498_HY5KHDSXY_L1	MF_43_C_CSFP210001498-1a_HY5KHDSXY_L1_1.fq.gz	MF_43_C_CSFP210001498-1a_HY5KHDSXY_L1_2.fq.gz	short	FALSE	FALSE	TRUE	TRUE
MF_43_3	MFRAG_00027H	MFRAG_00027H-1.fq.gz	MFRAG_00027H-2.fq.gz	short	FALSE	FALSE	TRUE	TRUE
MF_43_3	MFRAG_00027H_b	MFRAG_00027H_b-1.fq.gz	MFRAG_00027H_b-2.fq.gz	short	FALSE	FALSE	TRUE	TRUE
