sample	unit	fq1	fq2	readlen	desiree_layers	desiree_layers_geno	rp_layer_geno	rp_layers
BB_1	BORD_00001	BORD_00001.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_10	BORD_00010	BORD_00010.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_100	BORD_00098	BORD_00098.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_101	BORD_00099	BORD_00099.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_102	BORD_00100	BORD_00100.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_103	BORD_00101	BORD_00101.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_104	BORD_00102	BORD_00102.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_105	BORD_00103	BORD_00103.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_106	BORD_00104	BORD_00104.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_107	BORD_00105	BORD_00105.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_108	BORD_00106	BORD_00106.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_109	BORD_00107	BORD_00107.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_11	BORD_00011	BORD_00011.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_110	BORD_00108	BORD_00108.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_111	BORD_00109	BORD_00109.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_112	BORD_00110	BORD_00110.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_113	BORD_00111	BORD_00111.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_114	BORD_00112	BORD_00112.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_115	BORD_00113	BORD_00113.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_116	BORD_00114	BORD_00114.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_117	BORD_00115	BORD_00115.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_118	BORD_00116	BORD_00116.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_119	BORD_00117	BORD_00117.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_12	BORD_00012	BORD_00012.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_120	BORD_00118	BORD_00118.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_121	BORD_00119	BORD_00119.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_122	BORD_00120	BORD_00120.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_123	BORD_00121	BORD_00121.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_124	BORD_00122	BORD_00122.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_13	BORD_00013	BORD_00013.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_14	BORD_00014	BORD_00014.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_15	BORD_00015	BORD_00015.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_150	BORD_00123	BORD_00123.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_151	BORD_00124	BORD_00124.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_152	BORD_00125	BORD_00125.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_153	BORD_00126	BORD_00126.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_154	BORD_00127	BORD_00127.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_155	BORD_00128	BORD_00128.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_156	BORD_00129	BORD_00129.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_157	BORD_00130	BORD_00130.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_158	BORD_00131	BORD_00131.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_159	BORD_00132	BORD_00132.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_16	BORD_00016	BORD_00016.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_160	BORD_00133	BORD_00133.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_161	BORD_00134	BORD_00134.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_162	BORD_00135	BORD_00135.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_163	BORD_00136	BORD_00136.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_165	BORD_00137	BORD_00137.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_166	BORD_00138	BORD_00138.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_167	BORD_00139	BORD_00139.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_169	BORD_00140	BORD_00140.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_17	BORD_00017	BORD_00017.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_170	BORD_00141	BORD_00141.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_171	BORD_00142	BORD_00142.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_172	BORD_00143	BORD_00143.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_173	BORD_00144	BORD_00144.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_174	BORD_00145	BORD_00145.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_175	BORD_00146	BORD_00146.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_176	BORD_00147	BORD_00147.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_177	BORD_00148	BORD_00148.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_178	BORD_00149	BORD_00149.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_179	BORD_00150	BORD_00150.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_18	BORD_00018	BORD_00018.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_180	BORD_00151	BORD_00151.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_181	BORD_00152	BORD_00152.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_182	BORD_00153	BORD_00153.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_183	BORD_00154	BORD_00154.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_184	BORD_00155	BORD_00155.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_186	BORD_00156	BORD_00156.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_187	BORD_00157	BORD_00157.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_19	BORD_00019	BORD_00019.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_190	BORD_00158	BORD_00158.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_191	BORD_00159	BORD_00159.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_192	BORD_00160	BORD_00160.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_193	BORD_00161	BORD_00161.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_194	BORD_00162	BORD_00162.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_195	BORD_00163	BORD_00163.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_196	BORD_00164	BORD_00164.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_197	BORD_00165	BORD_00165.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_198	BORD_00166	BORD_00166.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_199	BORD_00167	BORD_00167.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_2	BORD_00002	BORD_00002.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_20	BORD_00020	BORD_00020.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_200	BORD_00168	BORD_00168.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_201	BORD_00169	BORD_00169.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_202	BORD_00170	BORD_00170.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_203	BORD_00171	BORD_00171.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_204	BORD_00172	BORD_00172.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_205	BORD_00173	BORD_00173.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_206	BORD_00174	BORD_00174.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_207	BORD_00175	BORD_00175.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_208	BORD_00176	BORD_00176.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_209	BORD_00177	BORD_00177.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_21	BORD_00021	BORD_00021.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_210	BORD_00178	BORD_00178.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_211	BORD_00179	BORD_00179.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_212	BORD_00180	BORD_00180.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_213	BORD_00181	BORD_00181.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_214	BORD_00182	BORD_00182.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_215	BORD_00183	BORD_00183.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_216	BORD_00184	BORD_00184.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_217	BORD_00185	BORD_00185.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_218	BORD_00186	BORD_00186.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_219	BORD_00187	BORD_00187.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_22	BORD_00022	BORD_00022.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_220	BORD_00188	BORD_00188.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_221	BORD_00189	BORD_00189.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_222	BORD_00190	BORD_00190.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_224	BORD_00191	BORD_00191.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_225	BORD_00192	BORD_00192.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_227	BORD_00193	BORD_00193.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_228	BORD_00194	BORD_00194.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_23	BORD_00023	BORD_00023.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_230	BORD_00195	BORD_00195.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_231	BORD_00196	BORD_00196.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_232	BORD_00197	BORD_00197.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_233	BORD_00198	BORD_00198.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_234	BORD_00199	BORD_00199.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_235	BORD_00200	BORD_00200.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_236	BORD_00201	BORD_00201.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_237	BORD_00202	BORD_00202.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_238	BORD_00203	BORD_00203.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_239	BORD_00204	BORD_00204.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_24	BORD_00024	BORD_00024.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_240	BORD_00205	BORD_00205.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_242	BORD_00206	BORD_00206.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_243	BORD_00207	BORD_00207.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_244	BORD_00208	BORD_00208.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_245	BORD_00209	BORD_00209.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_246	BORD_00210	BORD_00210.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_247	BORD_00211	BORD_00211.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_248	BORD_00212	BORD_00212.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_249	BORD_00213	BORD_00213.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_25	BORD_00025	BORD_00025.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_250	BORD_00214	BORD_00214.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_251	BORD_00215	BORD_00215.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_252	BORD_00216	BORD_00216.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_253	BORD_00217	BORD_00217.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_254	BORD_00218	BORD_00218.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_255	BORD_00219	BORD_00219.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_256	BORD_00220	BORD_00220.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_257	BORD_00221	BORD_00221.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_258	BORD_00222	BORD_00222.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_26	BORD_00026	BORD_00026.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_260	BORD_00223	BORD_00223.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_261	BORD_00224	BORD_00224.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_262	BORD_00225	BORD_00225.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_263	BORD_00226	BORD_00226.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_264	BORD_00227	BORD_00227.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_265	BORD_00228	BORD_00228.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_266	BORD_00229	BORD_00229.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_268	BORD_00230	BORD_00230.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_269	BORD_00231	BORD_00231.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_27	BORD_00027	BORD_00027.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_270	BORD_00232	BORD_00232.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_271	BORD_00233	BORD_00233.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_272	BORD_00234	BORD_00234.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_273	BORD_00235	BORD_00235.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_274	BORD_00236	BORD_00236.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_275	BORD_00237	BORD_00237.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_276	BORD_00238	BORD_00238.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_277	BORD_00239	BORD_00239.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_278	BORD_00240	BORD_00240.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_279	BORD_00241	BORD_00241.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_28	BORD_00028	BORD_00028.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_280	BORD_00242	BORD_00242.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_281	BORD_00243	BORD_00243.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_282	BORD_00244	BORD_00244.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_283	BORD_00245	BORD_00245.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_284	BORD_00246	BORD_00246.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_285	BORD_00247	BORD_00247.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_286	BORD_00248	BORD_00248.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_287	BORD_00249	BORD_00249.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_288	BORD_00250	BORD_00250.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_289	BORD_00251	BORD_00251.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_29	BORD_00029	BORD_00029.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_291	BORD_00252	BORD_00252.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_292	BORD_00253	BORD_00253.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_293	BORD_00254	BORD_00254.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_294	BORD_00255	BORD_00255.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_295	BORD_00256	BORD_00256.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_296	BORD_00257	BORD_00257.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_297	BORD_00258	BORD_00258.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_298	BORD_00259	BORD_00259.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_299	BORD_00260	BORD_00260.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_3	BORD_00003	BORD_00003.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_30	BORD_00030	BORD_00030.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_300	BORD_00261	BORD_00261.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_301	BORD_00262	BORD_00262.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_302	BORD_00263	BORD_00263.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
